epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,568.718,0.44997,0.31451,0.77565,0.81651,0,0.99778,1,0.995,0.94304,0.99778,1,0.995,0.89936,0.30761,0.22928,1.0093,0.80105,0,0.0005744,0.0005744,0.0005744
74,576.41,0.45755,0.37651,0.78141,0.82589,0,0.99763,1,0.995,0.94231,0.99763,1,0.995,0.92435,0.3063,0.21991,0.93333,0.79918,0,0.0005546,0.0005546,0.0005546
75,584.098,0.30491,0.19261,0.85881,0.7805,0,0.99763,1,0.995,0.94231,0.99763,1,0.995,0.92435,0.3063,0.21991,0.93333,0.79918,0,0.0005348,0.0005348,0.0005348
76,592.085,0.39664,0.30403,0.6545,0.82287,0,0.99755,1,0.995,0.9438,0.99755,1,0.995,0.92461,0.30652,0.20796,0.85996,0.79819,0,0.000515,0.000515,0.000515
77,600,0.32794,0.22249,0.64264,0.82638,0,0.99755,1,0.995,0.9438,0.99755,1,0.995,0.92461,0.30652,0.20796,0.85996,0.79819,0,0.0004952,0.0004952,0.0004952
78,607.494,0.33744,0.31911,0.72689,0.78461,0,0.99751,1,0.995,0.94254,0.99751,1,0.995,0.90941,0.34027,0.20585,0.78465,0.79938,0,0.0004754,0.0004754,0.0004754
79,614.935,0.35724,0.3102,0.72556,0.78501,0,0.99751,1,0.995,0.94254,0.99751,1,0.995,0.90941,0.34027,0.20585,0.78465,0.79938,0,0.0004556,0.0004556,0.0004556
80,623.338,0.39167,0.25355,0.74019,0.81964,0,0.99748,1,0.995,0.93395,0.99748,1,0.995,0.92195,0.33653,0.19984,0.74397,0.79923,0,0.0004358,0.0004358,0.0004358
81,631.111,0.33132,0.233,0.60805,0.79545,0,0.99748,1,0.995,0.93395,0.99748,1,0.995,0.92195,0.33653,0.19984,0.74397,0.79923,0,0.000416,0.000416,0.000416
82,638.624,0.3688,0.26499,0.65624,0.80039,0,0.99741,1,0.995,0.94192,0.99741,1,0.995,0.91253,0.32241,0.20143,0.71929,0.79786,0,0.0003962,0.0003962,0.0003962
